iter	Passed	Remaining
0	143	143802
1	144	72138
2	145	48225
3	145	36269
4	146	29096
5	146	24349
6	147	20931
7	148	18372
8	148	16378
9	149	14774
10	149	13466
11	150	12397
12	151	11503
13	152	10716
14	152	10038
15	153	9460
16	154	8937
17	155	8471
18	155	8047
19	156	7670
20	157	7329
21	157	7015
22	158	6732
23	159	6467
24	159	6230
25	160	6007
26	161	5802
27	161	5609
28	162	5427
29	162	5261
30	163	5106
31	164	4961
32	164	4826
33	165	4696
34	165	4574
35	166	4460
36	167	4349
37	167	4248
38	168	4150
39	169	4058
40	169	3968
41	170	3884
42	170	3803
43	171	3726
44	172	3654
45	172	3583
46	173	3516
47	173	3450
48	174	3387
49	175	3329
50	175	3274
51	176	3223
52	177	3170
53	178	3119
54	178	3069
55	179	3020
56	179	2974
57	180	2929
58	180	2885
59	181	2844
60	182	2806
61	182	2768
62	183	2729
63	184	2692
64	184	2658
65	185	2625
66	186	2591
67	186	2555
68	187	2525
69	187	2496
70	188	2467
71	189	2439
72	189	2410
73	190	2383
74	191	2356
75	191	2331
76	192	2307
77	193	2283
78	193	2259
79	194	2236
80	195	2212
81	195	2191
82	196	2171
83	197	2150
84	197	2127
85	198	2106
86	198	2085
87	199	2065
88	199	2047
89	200	2029
90	201	2010
91	201	1993
92	202	1974
93	203	1957
94	203	1940
95	204	1923
96	204	1908
97	205	1892
98	206	1877
99	206	1862
100	207	1847
101	207	1830
102	208	1817
103	209	1803
104	209	1788
105	210	1774
106	211	1763
107	211	1750
108	212	1737
109	213	1725
110	213	1712
111	214	1699
112	215	1687
113	215	1675
114	216	1666
115	217	1654
116	217	1642
117	218	1631
118	218	1620
119	219	1609
120	220	1598
121	220	1588
122	221	1577
123	222	1569
124	222	1559
125	223	1549
126	224	1539
127	224	1528
128	224	1519
129	225	1509
130	226	1501
131	226	1492
132	227	1483
133	228	1474
134	228	1466
135	229	1457
136	229	1448
137	230	1439
138	231	1431
139	231	1423
140	232	1415
141	232	1406
142	233	1398
143	233	1390
144	234	1383
145	235	1375
146	235	1368
147	236	1361
148	237	1353
149	237	1346
150	238	1339
151	238	1331
152	239	1324
153	239	1317
154	240	1310
155	241	1304
156	241	1297
157	242	1290
158	242	1284
159	243	1277
160	243	1271
161	244	1265
162	245	1259
163	246	1254
164	246	1248
165	247	1241
166	247	1236
167	248	1230
168	249	1224
169	249	1218
170	250	1212
171	250	1206
172	251	1201
173	251	1196
174	252	1190
175	253	1186
176	253	1180
177	254	1175
178	255	1169
179	255	1164
180	255	1158
181	256	1153
182	257	1148
183	257	1143
184	258	1138
185	259	1133
186	259	1129
187	260	1125
188	261	1120
189	261	1116
190	262	1111
191	263	1106
192	263	1102
193	264	1098
194	264	1093
195	265	1089
196	266	1085
197	266	1080
198	267	1076
199	268	1072
200	268	1067
201	269	1063
202	269	1059
203	270	1056
204	271	1052
205	272	1049
206	272	1044
207	273	1040
208	273	1036
209	274	1032
210	275	1029
211	275	1025
212	276	1022
213	277	1018
214	277	1014
215	278	1010
216	278	1006
217	279	1002
218	280	998
219	280	995
220	281	991
221	281	987
222	282	984
223	283	980
224	283	977
225	284	974
226	285	971
227	285	968
228	286	964
229	287	961
230	287	958
231	288	954
232	289	951
233	289	948
234	290	945
235	291	942
236	291	938
237	292	935
238	292	932
239	293	929
240	293	925
241	294	923
242	295	920
243	296	917
244	298	920
245	299	919
246	300	917
247	302	916
248	303	915
249	304	912
250	305	911
251	306	908
252	306	906
253	307	903
254	308	901
255	309	899
256	310	896
257	310	894
258	311	891
259	312	888
260	312	885
261	313	883
262	314	880
263	314	877
264	315	875
265	316	872
266	316	869
267	317	867
268	318	865
269	319	862
270	319	860
271	320	857
272	321	855
273	321	852
274	322	850
275	323	848
276	323	845
277	324	843
278	325	840
279	325	838
280	326	835
281	327	833
282	327	830
283	328	828
284	329	825
285	329	823
286	330	821
287	331	818
288	331	816
289	332	813
290	332	811
291	333	808
292	334	806
293	334	803
294	335	801
295	335	799
296	336	796
297	337	793
298	337	791
299	338	788
300	338	786
301	339	784
302	339	781
303	340	779
304	341	777
305	341	774
306	342	772
307	342	769
308	343	767
309	343	765
310	344	763
311	345	761
312	345	758
313	346	756
314	346	754
315	347	752
316	348	750
317	348	747
318	349	745
319	349	743
320	350	741
321	351	739
322	351	736
323	352	734
324	352	732
325	353	730
326	353	728
327	354	726
328	355	724
329	355	722
330	356	720
331	356	717
332	357	715
333	357	713
334	358	711
335	358	709
336	359	707
337	359	704
338	360	702
339	360	700
340	361	698
341	361	696
342	362	693
343	362	691
344	363	689
345	364	688
346	364	686
347	365	684
348	365	682
349	366	680
350	366	678
351	367	676
352	367	674
353	368	672
354	369	670
355	369	668
356	370	667
357	370	665
358	371	663
359	371	661
360	372	659
361	373	657
362	373	655
363	374	654
364	375	652
365	375	650
366	376	649
367	376	647
368	377	645
369	378	643
370	378	642
