iter	Passed	Remaining
0	144	143968
1	146	73032
2	148	49487
3	152	37865
4	154	30830
5	157	26155
6	160	22742
7	162	20180
8	165	18185
9	166	16524
10	169	15210
11	172	14188
12	174	13234
13	176	12406
14	178	11690
15	179	11049
16	181	10478
17	182	9972
18	184	9523
19	186	9115
20	187	8737
21	188	8389
22	190	8072
23	191	7777
24	192	7512
25	194	7274
26	195	7038
27	196	6818
28	197	6615
29	198	6433
30	200	6256
31	201	6097
32	202	5942
33	203	5793
34	204	5650
35	205	5511
36	206	5380
37	207	5255
38	208	5137
39	209	5025
40	210	4918
41	211	4815
42	211	4714
43	212	4617
44	213	4524
45	214	4439
46	214	4354
47	215	4272
48	216	4192
49	216	4117
50	217	4044
51	218	3975
52	218	3910
53	219	3845
54	220	3783
55	220	3723
56	221	3663
57	222	3605
58	222	3550
59	223	3497
60	224	3449
61	224	3400
62	225	3356
63	226	3310
64	226	3264
65	227	3219
66	228	3175
67	228	3133
68	229	3095
69	230	3056
70	230	3017
71	231	2979
72	231	2942
73	232	2906
74	232	2870
75	233	2836
76	233	2803
77	234	2770
78	234	2739
79	235	2709
80	236	2680
81	236	2650
82	237	2618
83	237	2590
84	238	2563
85	238	2536
86	239	2509
87	239	2484
88	240	2458
89	240	2434
90	241	2411
91	241	2387
92	242	2364
93	243	2342
94	243	2320
95	244	2299
96	244	2278
97	245	2257
98	245	2236
99	246	2217
100	246	2198
101	247	2179
102	248	2160
103	248	2141
104	249	2123
105	249	2105
106	250	2088
107	250	2071
108	251	2054
109	251	2038
110	252	2022
111	253	2007
112	253	1991
113	254	1975
114	254	1960
115	255	1945
116	255	1930
117	256	1915
118	256	1902
119	257	1888
120	258	1876
121	258	1862
122	259	1849
123	259	1836
124	260	1823
125	260	1810
126	261	1798
127	262	1785
128	262	1773
129	263	1762
130	263	1750
131	264	1738
132	264	1727
133	265	1716
134	266	1704
135	266	1693
136	267	1682
137	267	1672
138	268	1661
139	268	1651
140	269	1641
141	269	1630
142	270	1620
143	270	1610
144	271	1600
145	271	1590
146	272	1580
147	273	1572
148	273	1562
149	274	1554
150	274	1545
151	275	1536
152	275	1527
153	276	1518
154	276	1509
155	277	1501
156	278	1492
157	278	1484
158	279	1476
159	279	1469
160	280	1460
161	280	1452
162	281	1444
163	281	1436
164	282	1428
165	282	1420
166	283	1413
167	283	1405
168	284	1398
169	284	1391
170	285	1384
171	286	1377
172	286	1370
173	287	1363
174	287	1356
175	288	1349
176	288	1343
177	289	1336
178	290	1330
179	290	1323
180	291	1317
181	291	1311
182	292	1304
183	292	1298
184	293	1292
185	294	1286
186	294	1280
187	295	1274
188	295	1268
189	296	1262
190	296	1256
191	297	1251
192	297	1245
193	298	1239
194	299	1234
195	299	1229
196	300	1223
197	300	1217
198	301	1212
199	301	1206
200	302	1201
201	302	1196
202	303	1190
203	303	1185
204	304	1180
205	304	1175
206	305	1169
207	305	1164
208	306	1160
209	307	1155
210	307	1150
211	308	1145
212	308	1141
213	309	1136
214	309	1131
215	310	1126
216	310	1122
217	311	1117
218	311	1112
219	312	1108
220	313	1103
221	313	1099
222	314	1094
223	314	1090
224	315	1085
225	315	1081
226	316	1077
227	316	1072
228	317	1068
229	318	1064
230	318	1060
231	319	1056
232	319	1052
233	320	1048
234	320	1044
235	321	1040
236	321	1036
237	322	1032
238	323	1028
239	323	1025
240	324	1020
241	324	1017
242	325	1013
243	325	1009
244	326	1006
245	327	1002
246	327	998
247	328	995
248	328	991
249	329	988
250	329	984
251	330	981
252	331	977
253	331	973
254	332	970
255	332	966
256	333	963
257	333	959
258	334	956
259	334	952
260	335	949
261	335	946
262	336	942
263	337	939
264	337	936
265	338	933
266	338	929
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	911
273	342	907
274	343	904
275	343	901
276	344	898
277	344	895
278	345	892
279	346	889
280	346	886
281	347	883
282	347	881
283	348	877
284	348	874
285	349	872
286	349	869
287	350	866
288	351	863
289	351	860
290	352	857
291	352	854
292	353	852
293	353	849
294	354	846
295	354	843
296	355	840
297	355	838
298	356	835
299	356	832
300	357	830
301	358	827
302	358	825
303	359	822
304	359	819
305	360	816
306	360	814
307	361	811
308	361	809
309	362	806
310	362	804
311	363	801
312	363	798
313	364	796
314	365	793
315	365	791
316	366	789
317	366	786
318	367	784
319	367	781
320	368	779
321	369	776
322	369	774
323	370	772
324	370	769
325	371	767
326	371	765
327	372	762
328	372	760
329	373	758
330	373	755
331	374	753
332	375	751
333	375	748
334	376	746
335	376	744
336	377	741
337	377	739
338	378	737
339	378	735
340	379	733
341	379	730
342	380	728
343	380	726
344	381	724
345	381	721
346	382	719
347	383	717
348	383	715
349	384	713
350	384	711
351	385	709
352	385	707
353	386	705
354	386	702
355	387	700
356	387	698
357	388	696
358	389	694
359	389	692
360	390	690
361	390	688
362	391	686
363	391	684
364	392	682
365	392	680
366	393	678
367	394	676
368	394	674
369	395	672
370	395	670
371	396	669
372	396	667
373	397	665
374	397	663
375	398	661
376	399	659
377	399	657
378	400	655
379	400	654
380	401	652
381	402	650
382	402	648
383	403	646
384	403	644
385	404	643
386	405	641
387	405	639
388	406	638
389	406	636
390	407	634
391	408	632
392	408	631
393	409	629
394	409	627
395	410	625
396	411	624
397	411	622
398	412	620
399	412	618
400	413	617
401	413	615
402	414	613
403	414	611
404	415	610
405	415	608
406	416	606
407	417	605
408	417	603
409	418	601
410	418	600
411	419	598
412	419	596
413	420	594
414	420	593
415	421	591
416	421	589
417	422	588
418	423	586
419	423	584
420	424	583
421	424	581
422	425	580
423	425	578
424	426	576
425	426	575
426	427	573
427	427	571
428	428	570
429	429	568
430	429	567
431	429	565
432	430	563
433	430	562
434	431	560
435	431	558
436	432	557
437	432	555
438	433	553
439	433	552
440	434	550
441	435	549
442	435	547
443	436	546
444	436	544
445	437	543
446	437	541
447	438	540
448	439	538
449	439	537
450	440	535
451	440	534
452	441	532
453	441	531
454	442	529
455	442	528
456	443	526
457	443	525
458	444	523
459	444	522
460	445	520
461	445	519
462	446	517
463	446	516
464	447	514
465	448	513
466	448	512
467	449	510
468	449	509
469	450	507
470	450	506
471	451	505
472	451	503
473	452	502
474	453	500
475	453	499
476	454	497
477	454	496
478	455	495
479	455	493
480	456	492
481	456	490
482	457	489
483	457	487
484	458	486
485	458	485
486	459	483
487	459	482
488	460	481
489	460	479
490	461	478
491	462	477
492	462	475
493	463	474
494	463	473
495	464	471
496	464	470
497	465	468
498	465	467
499	466	466
500	466	464
501	467	463
502	467	462
503	468	461
504	468	459
505	469	458
506	470	457
507	470	455
508	471	454
509	471	453
510	472	452
511	473	450
512	473	449
513	474	448
514	474	447
515	475	445
516	475	444
517	476	443
518	476	441
519	477	440
520	477	439
521	478	438
522	479	436
523	479	435
524	480	434
525	480	433
526	481	432
527	481	430
528	482	429
529	483	428
530	483	427
531	484	425
532	484	424
533	485	423
534	485	422
535	486	420
536	486	419
537	487	418
538	488	417
539	488	416
540	489	414
541	489	413
542	490	412
543	491	411
544	491	410
545	492	409
546	492	408
547	493	406
548	493	405
549	494	404
550	495	403
551	495	402
552	496	401
553	496	399
554	497	398
555	498	397
556	498	396
557	499	395
558	499	394
559	500	393
560	500	391
561	501	390
562	501	389
563	502	388
564	502	387
565	503	386
566	503	384
567	504	383
568	504	382
569	505	381
570	506	380
571	506	379
572	507	378
573	507	376
574	508	375
575	509	374
576	509	373
577	510	372
578	510	371
579	511	370
580	511	369
581	512	367
582	512	366
583	513	365
584	514	364
585	514	363
586	515	362
587	515	361
588	516	360
589	516	359
590	517	357
591	517	356
592	518	355
593	518	354
594	519	353
595	519	352
596	520	351
597	521	350
598	521	349
599	522	348
600	522	347
601	523	345
602	523	344
603	524	343
604	524	342
605	525	341
606	525	340
607	526	339
608	527	338
609	527	337
610	528	336
611	528	335
612	529	334
613	529	333
614	530	331
615	530	331
616	531	329
